country,continent,population,Cases,Recovered,Deaths
Belgium,Europe,11668278,4861695,4826798,34376
Israel,Asia,9326000,4841772,4798473,12707
Thailand,Asia,70078203,4770149,4692636,34586
Czechia,Europe,10736784,4759041,4715206,43517
Peru,South-America,33684208,4572667,4350506,222161
Switzerland,Europe,8773637,4453053,4438309,14452
Philippines,Asia,112508994,4140383,4067381,66864
Romania,Europe,19031335,3529735,3460149,68929
Denmark,Europe,5834950,3183756,3174942,8814
Singapore,Asia,5943546,3006155,3004131,2024
Hong-Kong,Asia,7604299,2937609,2916005,14924
Sweden,Europe,10218971,2754129,2726492,27407
New-Zealand,Oceania,4898203,2621111,2613791,5697
Serbia,Europe,8653016,2615054,2596608,18057
Iraq,Asia,42164965,2465545,2439497,25375
Hungary,Europe,9606259,2230232,2152155,49048
Bangladesh,Asia,167885689,2049377,,29493
Slovakia,Europe,5460193,1877605,1856381,21224
Georgia,Asia,3968738,1861665,,17132
Ireland,Europe,5020199,1734582,1724921,9491
Pakistan,Asia,229488994,1581936,1538689,30664
Finland,Europe,5554960,1516117,1503989,11958
Norway,Europe,5511370,1509732,1503094,6638
Lithuania,Europe,2661708,1397806,1387478,9897
Slovenia,Europe,2078034,1356546,1349424,7100
Bulgaria,Europe,6844597,1339851,1292944,38748
Croatia,Europe,4059286,1309728,1258432,18687
Guatemala,North-America,18584039,1291293,1269891,20289
Morocco,Africa,37772756,1278992,,16303
Lebanon,Asia,6684849,1243838,1087587,10952
Costa-Rica,North-America,5182354,1238883,,9428
Bolivia,South-America,11992656,1212131,1177145,22407
Tunisia,Africa,12046656,1153361,,29423
Cuba,North-America,11305652,1115251,1106660,8530
Spain,Europe,46719142,13914811,13762417,121760
North-America,North-America,,131889132,127665129,1695941
Asia,Asia,,221500265,205673091,1553662
Europe,Europe,,253406198,248754104,2101824
South-America,South-America,,70200879,66683585,1367332
Oceania,Oceania,,14895771,14752388,33015
Africa,Africa,,12860924,12090808,258892
All,All,,704753890,675619811,7010681
USA,North-America,334805269,111820082,109814428,1219487
India,Asia,1406631776,45035393,,533570
France,Europe,65584518,40138560,39970918,167642
Germany,Europe,83883596,38828995,38240600,183027
Brazil,South-America,215353593,38743918,36249161,711380
S-Korea,Asia,51329899,34571873,34535939,35934
Japan,Asia,125584838,33803572,,74694
Italy,Europe,60262770,26723249,26361218,196487
UK,Europe,68497907,24910387,24678275,232112
Russia,Europe,145805947,24124215,23545818,402756
Turkey,Asia,85561976,17232066,,102174
Australia,Oceania,26068792,11853144,11820014,24414
Vietnam,Asia,98953541,11625195,10640971,43206
Taiwan,Asia,23888595,10241523,10222518,19005
Argentina,South-America,46010234,10128845,9997258,130841
Netherlands,Europe,17211447,8635786,8612599,22992
Mexico,North-America,131562772,7702809,6899865,334958
Iran,Asia,86022837,7627186,,146811
Indonesia,Asia,279134505,6829221,6647104,162063
